light,ax,ay,az,gx,gy,gz,label
2022,0.1212,-0.0242,0.9948,-1.3428,-2.8687,-12.4512,brightshaky
2045,0.0757,-0.0055,0.9983,1.0376,4.8828,8.667,brightshaky
2040,0.0929,-0.0111,1.0083,-0.1831,1.2817,0.5493,brightshaky
2017,0.1191,-0.0117,1.0032,-1.5869,-2.1973,-13.1836,brightshaky
2036,0.1014,-0.0353,1.0208,0.5493,-11.0474,9.4604,brightshaky
2005,0.0463,-0.0684,1.0208,-4.5776,4.0283,-51.3916,brightshaky
2033,0.1047,-0.0419,1.0114,0.4883,-6.4697,12.8174,brightshaky
2009,0.0867,0.0369,1.0083,-4.2725,0.3052,-44.0063,brightshaky
2019,0.104,0.0413,1.0074,0.8545,-3.8452,11.7187,brightshaky
2032,0.0865,-0.0024,1.0094,-0.3662,4.3335,-4.0894,brightshaky
2031,0.0913,-0.0061,1.0044,-0.4272,-0.4272,-2.1973,brightshaky
2012,0.1151,-0.011,1.0076,-2.1973,-3.2959,-16.6016,brightshaky
2007,0.1008,-0.0156,0.9957,-0.7324,-0.9155,-3.54,brightshaky
2035,0.1119,-0.0272,0.9926,0.3662,-8.4839,4.6387,brightshaky
2038,0.0917,-0.0093,1.0074,-0.3052,1.4038,-0.1831,brightshaky
2022,0.1003,-0.0072,1.0056,-0.1831,-2.9907,-1.0986,brightshaky
2039,0.0751,-0.0261,1.0017,-0.1831,2.4414,-1.4038,brightshaky
2024,0.1313,0.012,1.0029,-0.4883,-2.1973,-1.5259,brightshaky
2029,0.1036,-0.0217,0.988,-0.1831,-1.9531,3.7231,brightshaky
2039,0.097,-0.0322,0.9823,1.3428,3.9673,17.9443,brightshaky
2008,0.0941,0.0161,0.9984,-1.1597,0.5493,-9.2773,brightshaky
2034,0.0604,-0.0519,0.9929,4.9438,6.5308,52.2461,brightshaky
2028,0.1085,-0.0044,1.0033,-2.3804,-2.1973,-27.2217,brightshaky
2043,0.0906,0.0312,1.0048,1.5259,4.0894,18.8599,brightshaky
2019,0.0699,0.0145,0.9982,-0.7935,0.1831,-5.188,brightshaky
